The light would come all the way up to your vehicle and then it would seem to vanish only to be on the other side of you heading the other way.	0.4652826021242707 0.4380044973669976 0.42821866633828587 0.5022305609348033 0.4770034691472753 0.47479875366804086 0.41700995567248045 0.5064650532625461 0.5696210401239135 0.5224986524496638 0.42052806469274806 0.5316437006027905 0.49502158050040895 0.44366439249987805 0.43674136333882296 0.40630761959306083 0.35012373953287734 0.37607308589881056 0.4685779651477389 0.3821009043368372 0.5679340347564219 0.4880279325538198 0.4478082904289814 0.39384726733755004 0.40004522775171725 0.39322558014737324 0.5533039192257662 0.45514605634962935 0.37145517905350617 0.5632897618883561 0.5789978861798494 0.47868500456943086 0.4749675007443792 0.5099267430307928 0.42025859811497435 0.4467402829181156 0.39076963090503664 0.4710707454164909 0.5025617386816635 0.4595360874635533 0.4638947434956077 0.45746454707306483 0.4055042433321679 0.44398947115082443 0.36403263440426037 0.5306087552552915 0.4639044052352506 0.3642869989867764 0.43174899468989625 0.5200801779214992 0.4836548522774936 0.4445066591775047 0.5709999431982314 0.49421732915986943 0.420518330918575 0.4239391899727092 0.5203938561365705 0.5059307574326138 0.591101502459584 0.5307294918719151 0.48056495421242734 0.3081862977514708 0.4531735977489768 0.5754806583022866 0.36574861309923457 0.38163681898204094 0.5915552923499179 0.5333834427114268 0.34544369588913176 0.4306226851852234 0.6498969849106554 0.5442103003666318 0.3782571421107374 0.4380319433443126 0.4057804780968817 0.39056157056391827 0.5174364119302622 0.462792343783896 0.42668662151380343 0.48643032538385417 0.44842273171696523 0.45390794710769244 0.5155896247312494 0.4422925752382897 0.3620789940449911 0.3790231545862331 0.39170051717596804 0.44292843654167346 0.345434366106719 0.43350210506821923 0.5226603310532602 0.30586138482741526 0.36505789489291274 0.3955184264328988 0.5152981300740478 0.4906925041724528 0.6240545681166235 0.46793363487644585 0.3457360712310674 0.4557489899845643
Well, my birthday is in January.	0.505245532341691 0.5536795048320259 0.28835442681193235 0.341886481917147 0.345495834113094 0.37259594128572965 0.20689040252736782 0.6314034676313046 0.708471582753834 0.42231995863731325 0.590353357934385 0.5568047043538763 0.3980898406046926 0.40575263880717233 0.41075153934202663 0.16558790803188864 0.5650545085958033 0.2957393449155609 0.41333838357171454 0.3586328136586334 0.5150223874701259 0.5720703669858004 0.26789841017892724 0.553603810036686 0.6427972646985644 0.4899356167846281 0.38831631041684855 0.43591618584971553 0.4920483796784794 0.6009755199213945 0.47881570316430483 0.3938831231786932 0.483597817947549 0.41653774697858764 0.17604800563640657 0.430491420861246 0.4934880370897084 0.551386743961456 0.33244294893329385 0.29113517322492816 0.4868982368803487 0.2244544848086568 0.5518172270799245 0.36085763383780295 0.3227477445264472 0.5651540358873811 0.47585956899836535 0.6442167787559901 0.38071738146849005 0.5905234079424617 0.11081289687684204 0.4416013375014205 0.6714887973040745 0.7074597807084722 0.36194132218896363 0.3690247230437482 0.42865109338585095 0.37746313432857875 0.6510624839622355 0.5027808019449175 0.3281665345034068 0.5755038148538655 0.6932384250582698 0.4170389506813385 0.4943387288535052 0.3611531263117705 0.24685615375930844 0.38502235187983086 0.342747700576615 0.6828534145164747 0.47457458547950454 0.45709678887548116 0.5404534280083404 0.6193619227510611 0.244787908072892 0.6071912017899501 0.4000530489699858 0.47797320775746505 0.47968089941205055 0.29524541613113947 0.38511854785179583 0.5855289237637774 0.40478593344680563 0.3118798731225673 0.069838333925297 0.468710978781945 0.3442322821836363 0.7307696067521042 0.24067525538138376 0.33557639728879574 0.3788292655959862 0.34456801983105373 0.07592539384756154 0.49376894353038603 0.3944209390873099 0.3601912379687476 0.5901769659965753 0.19710669900000602 0.5162221846125412 0.584033874958947
Tears in my eyes, too much on my mind, and deep sadness in my heart.	0.4685529237238331 0.34457116391984427 0.4342273171465386 0.3800017510229256 0.39447659317114353 0.3328463140691932 0.32682275312173287 0.6028680230044513 0.5536508989864076 0.44655082504274524 0.48711961501334655 0.5179051097946223 0.4712570537390713 0.38141732992050864 0.4513821017380364 0.4253982862696518 0.5639741294072518 0.42446763407727006 0.3343532611358993 0.37829084829658266 0.710663526631307 0.37618601634623555 0.3592765885028655 0.5874358378906706 0.5652764076299411 0.1905846278529863 0.5225007969643737 0.41468110481376164 0.3960069136217654 0.4558344163679782 0.5023355640411469 0.36986739351549147 0.4313306736101175 0.5073402094237287 0.22794524676121383 0.3664045496389919 0.5211241347417299 0.35029397874468593 0.3490559531716221 0.19517830709394832 0.3555520336944481 0.3657530401295905 0.5376470862772078 0.5461130476719556 0.4864068754518935 0.4737591029217053 0.4531917029937696 0.5105902355951862 0.48291808582727086 0.49947976003260053 0.32612388181078206 0.5791104740583845 0.3739851206543793 0.7078857043349183 0.3279659987160234 0.40560405663155746 0.620884338799912 0.47061789277899574 0.7267832757090452 0.4090404050955232 0.5536739407874319 0.437506843529231 0.5422707304902475 0.5240075812522521 0.31027076288026173 0.4113689217240689 0.4801944423105771 0.49025912397234 0.4457708401174757 0.570651852406476 0.4997605910049652 0.2677579139213683 0.5312841141546742 0.4288584723036249 0.2532704654120692 0.5973765876954522 0.3338622904636564 0.49131642707917894 0.5714702463086173 0.3458603499806761 0.4663482758828508 0.5074050798198904 0.3971370749312346 0.23374302624939775 0.18932738634068913 0.3703239437781052 0.48860851618601026 0.5844924627425707 0.34877612687913095 0.2599405548284304 0.3069285555149493 0.49276512676250445 0.1481693471307891 0.4649300501176359 0.4409488992092557 0.3793764575207134 0.41910614733195034 0.26000992140810536 0.4416992193846079 0.36480176561331057
My eyes scanned quickly into every room, every corner as I passed by $ and more than once my fist met the peeling paint of a closed door.	0.43568203513167836 0.5052702617385494 0.43823592701117725 0.4748450784727236 0.3648027260254825 0.507672964524444 0.3351054983236467 0.5056968417432094 0.5550072062933287 0.4950819144387208 0.49924826091877095 0.43729670801629983 0.45886120450531886 0.48495064981137115 0.4691758208335319 0.5348628197945393 0.5020328362579352 0.355552701716633 0.44291878614436075 0.34026849304075585 0.5628352446490513 0.507801595104172 0.42008384122452924 0.5444907520618801 0.407997053265242 0.3208007860959611 0.4838353832937252 0.5692344318910237 0.48931191423357373 0.5608035630272022 0.5342163793208542 0.455471981415095 0.36851715978285854 0.35151194201715646 0.4675229110369234 0.3831394421497694 0.4750314643353838 0.44582384847131223 0.4829345872185754 0.3633208504373912 0.4512349249216292 0.5164441192176712 0.49596279126305487 0.5087030295487163 0.4032196616877783 0.44519317684310483 0.46629240785856174 0.44084183250844655 0.5230939133488124 0.4624977766190211 0.35258328029852076 0.5069280640328917 0.5575209857825603 0.5919849540130849 0.48426426936676364 0.3799242177519059 0.512336300456481 0.44283060408618974 0.5362058233500931 0.46125744513251316 0.5828961840799333 0.5093020672781646 0.5257698199010682 0.4996164142988246 0.3448571784838353 0.4379913360812622 0.4725124475191948 0.4295788209884219 0.39044426162934825 0.49499690634027654 0.4432647881645391 0.4275310592369745 0.44091955092397195 0.44160272398530653 0.4242889884610956 0.3248721385595808 0.46676823405484824 0.48065151635039327 0.4563304919543683 0.5063163502052512 0.5302271523695256 0.44118686057922285 0.5076562265448623 0.36675570687356895 0.3333387359357411 0.332815487184698 0.37356805095005546 0.564928558586537 0.3946184739634597 0.3748105375295298 0.3803393466308726 0.40989875199136705 0.40308059353938 0.5612331342947043 0.5243160395488884 0.5843964140223753 0.5192339774459461 0.4496253074336458 0.43542444610735137 0.4501576579296512
I felt the afterglow of the late afternoon sun and the cool zephyr on my skin at the same time when I stood outside the main gates of the university just before I saw his car making that turn.	0.39302700677387076 0.39245190361021526 0.34913643464568067 0.4739790156199841 0.41062771993391844 0.30608942415641777 0.26018023633042003 0.46021878662802085 0.5752930029076071 0.49830481525876674 0.49216935699420644 0.5118905309867487 0.5906706166673771 0.4018231980683281 0.43038373992754175 0.5316769368478942 0.3077322835607637 0.46677069228462115 0.3849996124556027 0.32142655636457196 0.5271395858891762 0.6074527086245627 0.42982194958093156 0.41519496598521 0.32012739581306643 0.38530105316516067 0.47511420727596926 0.5048189387178869 0.39174703563523466 0.5527911918774131 0.5022380284734369 0.33858491484278863 0.4028626071557459 0.5199151905889465 0.33538309941175154 0.4111416058027903 0.535998899346182 0.44059553847186567 0.4491448173785797 0.3670200082716357 0.40513692815964586 0.4865040587035009 0.4842528327071969 0.4711704720391528 0.3400900983903958 0.47202546944832746 0.47025326950273627 0.4829082160354213 0.5032894912268113 0.4821004443917168 0.29678435770760947 0.422667645724994 0.47713440354561626 0.5252961831096065 0.4321596188797446 0.49349932804805174 0.5474046033098914 0.37028328252868054 0.519211282801191 0.35244951310653017 0.48903211335975844 0.4530006441417167 0.41981259806929316 0.6020064163565452 0.4210051971884387 0.38297215645922067 0.5010252625469312 0.4792445305763201 0.3750407007362146 0.36890870876200954 0.48555314999771126 0.47475619973997635 0.3447638966216451 0.3819630146425969 0.42933838728781115 0.455543837106605 0.4758684007004544 0.4328716322104977 0.6034821000372079 0.4828558583221306 0.48908438829724626 0.4005100549291218 0.4544887410327608 0.3645965422911389 0.3625925807287758 0.40756319400879665 0.3506455224930408 0.5422835924455142 0.3729503769845937 0.415622140084062 0.4539492482613176 0.37400360217218154 0.4093400052200771 0.5470250204792884 0.5044122187675659 0.5015681003844875 0.51760716422892 0.4716910273858802 0.2951596502932809 0.5854782951708093
Whatever was stuffing up my head yesterday moved into my chest.	0.5754886083163776 0.3931513577194503 0.36860888974579226 0.582059847829222 0.4170499615872568 0.35911341244241746 0.2749693801675532 0.5543148585189216 0.451535150936996 0.3775971004440583 0.5643677686226343 0.4716441070449669 0.45149176817495085 0.3422158231286221 0.3955548960975769 0.38227176191001794 0.453569630050549 0.5141354430690611 0.4840768864447218 0.43479530986078174 0.5420899826382205 0.2597800829828737 0.3931997195885763 0.35593230782800944 0.49789363265728226 0.4216885343493242 0.5334885104711004 0.5065303000498647 0.36705466873975484 0.6068722631183571 0.39378163473185346 0.513270537213167 0.4182689078789519 0.506300074641595 0.4359096583045144 0.3741703648514289 0.539766807753498 0.2776149063599725 0.4650348081519505 0.30739731028010336 0.2302913618705187 0.30799427636308097 0.4464438033654488 0.48258511884624583 0.6088271272193556 0.37450346956282465 0.5493232666849267 0.47769274648578525 0.5008215847283715 0.5109842026978471 0.336444012765011 0.5348086551681098 0.48329967953310377 0.5516172386802665 0.44706560157751307 0.28090191838685996 0.5597107093287957 0.48306165674016605 0.4032881692924724 0.5313863159401198 0.5115044495989753 0.5131115996846881 0.6145665532468513 0.6662005423819616 0.3617595002117001 0.5088470726443426 0.5745860476237792 0.40515060896633914 0.35401003874758763 0.5004161323454214 0.4597083377024823 0.3661354341316812 0.43051297683055056 0.32281598954793383 0.4440537711432031 0.34007900209344527 0.39626747701830706 0.38296035979077864 0.6542946981676478 0.5707201952733378 0.2885539614804791 0.5085440570947196 0.3887623376010126 0.4349855648255198 0.25910801946065953 0.4534036280072927 0.4664026442358882 0.6588014608218086 0.3619870419335253 0.3814167511777675 0.42977122972738174 0.43475940375106004 0.2970936643282447 0.5322501209274275 0.4567131672776564 0.39686945137129204 0.5460746805141299 0.414940036221912 0.2994160428356605 0.43010325065373645
At this point he decided to consult the woman at the front desk for more information.	0.5015253291407087 0.5417288652166693 0.46653454183000653 0.5255996208199651 0.4085464117950808 0.3560445079133523 0.31991211425406085 0.46403849855572754 0.5251333197041828 0.5063166862440918 0.43368073165553683 0.4953112606309862 0.5061374081051729 0.4036115523970905 0.5382762659099875 0.4773675413426465 0.4612059132814498 0.6761332382178294 0.39990366623060103 0.40491713445765776 0.42830019997721697 0.7218597653912036 0.4549417528942101 0.5170469718320856 0.3640168187941093 0.38928161579066267 0.6277559372597561 0.42996762588281834 0.3809533415536669 0.5224453527251759 0.5155673164194992 0.4698972271471934 0.46570606472404696 0.5508745848240318 0.43915166244993026 0.43272317367752167 0.3212166965766749 0.43232046859233136 0.45814916512557036 0.3987045869331528 0.5345658004649861 0.49820056514159944 0.567616018991902 0.5248606673231915 0.37251951149084417 0.5378381464327435 0.4420808365508566 0.48752263306971405 0.4553074137840478 0.47592362500662533 0.3494423390779965 0.44125020352163724 0.5235146450300247 0.3923718349327714 0.4203763833455605 0.46781340183104614 0.41556643726798975 0.4357075653093495 0.49385706510060073 0.35932689505441323 0.45999135916211964 0.3557763762666092 0.4602490720128377 0.5494883936807732 0.44131672294451935 0.42773169639039876 0.3761070776691312 0.39185334617458834 0.49715310631591586 0.5325200558692436 0.5304324885721562 0.5622921778033904 0.4397805424013405 0.43049044618855015 0.4560757877819478 0.5127493106851475 0.43476107875966397 0.329230845457807 0.5039441915670435 0.46790153854708383 0.5416722299892631 0.4974278360554573 0.487571684480096 0.44582394319204877 0.4777916183139518 0.4349479914849745 0.4275893178452058 0.496419813310985 0.276891640602653 0.3778244901684621 0.43055701915771827 0.38054511768461513 0.4063522102434296 0.628523915344691 0.5247255389301565 0.43601167992783135 0.44994080651268803 0.48814010226704024 0.3999996595020134 0.45579776283009016
This is my fucking breaking point.	0.5077996687033729 0.43503613475546393 0.4274209955491876 0.45752704381787734 0.38111624119508875 0.22073219894865523 0.3600279684893672 0.576384698184604 0.48187894759449906 0.5178411138245664 0.5566075699301255 0.4244413006555994 0.2857823624443658 0.44608539664295455 0.4415429499368924 0.5698023396345148 0.534904524073024 0.34742001689071245 0.6363088393816168 0.3618937829550222 0.40475380869987915 0.4458502247919223 0.45191516227152045 0.4098617594693885 0.4653729461653147 0.45310324279495 0.527675685721765 0.4307482673389393 0.3831998200302398 0.5054959095327706 0.5372463633962486 0.4144476933685543 0.4411548072326721 0.5263187485224432 0.2974203135204406 0.6466086384901495 0.5553270693196539 0.42220185873257066 0.21412505035540008 0.34699876224376597 0.2889121270962812 0.2774329264317276 0.4103590163216397 0.3023632469323667 0.4433495612405168 0.5808645825122142 0.48464620968411176 0.12121942992579986 0.5654774146455624 0.43065790833810597 0.3445679134586011 0.3990745646693488 0.4186397422586558 0.6426446956575478 0.39446167410473637 0.32563158346516824 0.6054897286735282 0.49180274788620676 0.4993110243865763 0.442380317424848 0.35189677703623573 0.5065334522145565 0.37460308707354706 0.546868467582193 0.40915826222421314 0.43451546899413535 0.24765778429347562 0.474589511837236 0.4784469828656059 0.644512996394218 0.467096590303012 0.4803286621761351 0.43744336126092925 0.3497822259941635 0.5462767898702499 0.564195682223246 0.5310044496812482 0.4089531271248726 0.6515471088393937 0.4518035057900522 0.49260841721376164 0.598796231278561 0.4553880965846517 0.37922062593179445 0.1490332318473279 0.5140699542157775 0.434839963767552 0.33974207020319497 0.06575887591779249 0.4623839393699745 0.4551326188974851 0.4454288009542691 0.25470097669951963 0.6808429955871799 0.47800269660670086 0.32535987250502796 0.43382620567508384 0.39381043179949593 0.3768221230842778 0.361493613964682
Could be wrong though.	0.5955350607280564 0.3826725928652717 0.5249099135614472 0.8178761736408161 0.6414179700166787 0.37330098362177794 0.5952323008591354 0.2316057687752774 0.756369228289407 0.41536909054310084 0.5204254469918996 0.4412636631005082 0.43457712157135603 0.6767024708913456 0.3722951754857879 0.5578620498276792 0.5153879007248314 0.32216298875034055 0.5798651101300396 0.6952520513568099 0.5584913185773118 0.45120902896146053 0.4996501037152565 0.5605010699229915 0.44241953354301083 0.29305599532864784 0.574275126984373 0.504565695085087 0.38206973323868865 0.44557847748182483 0.2620043156404079 0.39011294965494536 0.5401852545368531 0.4388425706107827 0.6393920287422832 0.506888768266079 0.5473373873089054 0.49694548466620514 0.40155608475540683 0.440028433509169 0.5977222993185765 0.45244496530885625 0.42659140481758095 0.6352564983493231 0.5211724271511355 0.43978673303758214 0.3632727863220163 0.5597040888132421 0.4171962590455859 0.5040494749881266 0.3277594342156156 0.39079235198457873 0.3563028818730883 0.8494305585250889 0.3714031622534161 0.4401811429776288 0.35148224231439495 0.7171353866132221 0.5333446588068587 0.46943055729339395 0.3061226694933757 0.5484916261216954 0.5713023443458707 0.5424746727498222 0.5706775696658956 0.5212480109575088 0.623120551158528 0.3629318173188158 0.559954492306218 0.5289392482123866 0.6811762383093407 0.4635653907466575 0.6415123379153715 0.4676653064219818 0.3258773535546957 0.45285089310112814 0.5986856565591387 0.5034225949748256 0.3324081674893996 0.514727788046647 0.5347480489822684 0.31941986156828583 0.49687620938207 0.5338425013252995 0.36582693824949775 0.2442627895485961 0.42769564619592393 0.3964638404966213 0.5291578081265125 0.5127257555976892 0.6626547665543958 0.47140186749759194 0.4382927519904369 0.5709096313700003 0.3599798205060738 0.45234281621589234 0.4225224111816524 0.46600030415004057 0.48918510457961484 0.6465505316330905
It could have been slaughter, but he turned his wheel.	0.4229353545320662 0.5182486246225075 0.5913565925555104 0.4841149626763629 0.4524750944520729 0.537290522963769 0.3828423926010044 0.4763571656545905 0.7078221024069714 0.578600307463707 0.5817642640781222 0.6185365708880985 0.48924460975622325 0.47062685835551105 0.3692948974261715 0.4828971297193762 0.4603901304176552 0.4201967759006375 0.3359732771288209 0.4305548557722142 0.24967733463574954 0.5093755270908309 0.5156043012221306 0.7146885310686354 0.4089651557986097 0.38385449979768055 0.37760745301310183 0.4032356178822053 0.41882069193602334 0.3997218340948725 0.34149824079851154 0.7185676787198441 0.4077920902902548 0.6114659217105706 0.3881111551704712 0.617910819129343 0.45212486166898846 0.5568384448249037 0.5543763223117721 0.5248672968845872 0.24288741405319322 0.5851780588874016 0.5904189975618637 0.7052604548052848 0.3673627494824724 0.45173604269545764 0.32879109073286145 0.6439420573398231 0.33711906033192546 0.5325523976144562 0.4660277266693578 0.5267013986907639 0.38960081500803617 0.5615137902705845 0.5195863904588209 0.5827253972341431 0.557427148170736 0.45188087326434107 0.5464615384222818 0.47816382951167374 0.4367921746377599 0.3492884520154316 0.4864139316302654 0.6039084774159011 0.5205667036830272 0.31420853910632446 0.3558773978139581 0.5277892967664324 0.5197600403770293 0.35123964200587826 0.5876325492113343 0.4762984923686675 0.43190459262581626 0.4837506523249243 0.444122175005287 0.5066129084363198 0.3303256472845643 0.415228418158103 0.4254308345861242 0.36494384786084755 0.5143776514398168 0.5424591829107489 0.5172887063677613 0.47856004866027513 0.5161644860069934 0.3219117497868339 0.4984102777050163 0.4721744761398387 0.35509405898301705 0.4622513673526757 0.4752299695525514 0.41466833235764494 0.5108713812618253 0.5111657969924981 0.6323518365404669 0.415903672369829 0.40881093612816494 0.5386070195130599 0.4458957145928375 0.5912979821389739
